Protein.Group	Genes	CGGA_P137	CGGA_P173	CGGA_P271	CGGA_P647	CGGA_P660	CGGA_P736	CGGA_P778	CGGA_P802	CGGA_P83	CGGA_P153	CGGA_P295	CGGA_P679	CGGA_P698	CGGA_P714	CGGA_P737	CGGA_P151	CGGA_P179	CGGA_P541	CGGA_P658	CGGA_P687	CGGA_P699	CGGA_P704	CGGA_P711	CGGA_P721	CGGA_P84	CGGA_P882	CGGA_2103	CGGA_P1088	CGGA_P109	CGGA_P401	CGGA_P411	CGGA_P568	CGGA_P633	CGGA_P653	CGGA_P87
A0A075B6H9	IGLV4-69	NA	3.07002	NA	NA	NA	NA	NA	NA	6.68424	18.4663	25.8272	4.2262	7.98329	NA	NA	NA	NA	35.6179	7.51608	NA	NA	NA	NA	5.14551	NA	NA	NA	NA	10.2195	6.45138	11.9915	27.2598	NA	NA	10.189
A0A075B6I0	IGLV8-61	41.6173	NA	71.1353	NA	53.8011	NA	NA	NA	NA	74.7495	NA	127.605	NA	90.6744	NA	25.6051	NA	112.09	62.538	NA	NA	NA	116.221	NA	85.9641	NA	NA	NA	70.8983	95.9375	107.961	149.546	50.4868	64.8066	109.323
A0A075B6I9	IGLV7-46	NA	NA	NA	NA	NA	NA	NA	NA	82.7904	NA	132.926	223.918	NA	155.94	203.833	NA	NA	214.348	213.159	NA	NA	NA	195.769	NA	158.143	NA	74.3651	NA	82.9066	141.497	83.3747	133.499	184.058	123.29	113.004
A0A075B6J9	IGLV2-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.98657	12.249	11.7178	NA	16.6108	NA	NA	NA	NA	12.8931	NA	NA	NA	12.9946	NA	NA	NA	NA	NA	14.9296	NA	11.1657	23.8743	15.2512	7.60694	NA
A0A075B6K5	IGLV3-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.97	NA	45.8406	NA	80.5315	44.4945	NA	NA	37.4928	20.6149	NA	NA	19.9059	17.8717	NA	10.488	NA	NA	NA	NA	22.468	NA	32.0948	31.9584	14.9198	NA
A0A075B6R9;A0A0C4DH68	IGKV2-24;IGKV2D-24	NA	7.97102	NA	NA	13.1572	NA	NA	NA	17.3639	NA	NA	29.785	38.7666	34.6315	NA	NA	NA	35.9537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.8274	32.8436	14.5477	NA
A0A075B6S2;A2NJV5	IGKV2-29;IGKV2D-29	48.9582	29.6084	29.7802	32.1925	59.9205	NA	47.3518	NA	143.139	189.696	140.072	383.208	295.751	256.294	217.283	21.1754	NA	590.708	163.462	33.0631	90.1788	127.149	155.515	89.8414	38.5831	90.3882	74.601	87.9673	193.217	202.257	214.675	333.379	274.651	155.269	168.336
A0A075B708	TRAJ61	NA	NA	478.597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	188.88	NA	NA	NA	NA	NA	NA	NA	NA	238.937	NA	NA
A0A075B7B8	IGHV3OR16-12	NA	NA	NA	NA	NA	NA	16.3323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B7D0	IGHV1OR15-1	50.2272	22.7794	15.0437	19.3043	28.8247	NA	18.7296	NA	42.4991	178.032	58.4454	393.919	66.3386	194.524	154.9	21.6573	15.2794	432.168	110.268	19.8187	25.1193	46.1202	110.456	25.9024	46.2622	31.0095	42.3892	97.8802	97.9881	96.5149	59.9845	111.819	131.654	76.3127	102.906
A0A0A0MRZ8;P04433	IGKV3-11;IGKV3D-11	97.9605	87.3291	59.9079	66.6413	122.552	42.1502	91.6651	32.934	258.799	303.61	172.062	691.649	343.691	310.147	237.231	54.581	37.5594	735.304	292.998	75.1698	127.218	168.107	342.719	112.026	91.5198	132.145	166.563	130.75	366.357	144.019	257.514	478.792	528.133	344.073	301.521
A0A0A0MS15	IGHV3-49	36.3642	37.36	NA	NA	54.2407	NA	NA	NA	51.7392	159.683	NA	158.868	56.3559	231.863	89.709	13.8218	NA	266.111	97.012200000000007	43.618	NA	46.3624	79.6473	24.0677	37.7473	45.6007	NA	49.1525	81.9574	45.9326	82.6847	191.813	178.158	66.5423	135.376
A0A0B4J1X5	IGHV3-74	NA	NA	NA	NA	116.361	NA	58.8346	NA	NA	223.508	116.674	363.04	177.321	310.666	180.713	57.3674	NA	330.528	122.239	NA	NA	104.338	159.279	72.1812	96.9852	70.8698	68.7022	144.042	203.904	151.31	197.163	356.101	316.733	143.578	125.627
A0A0B4J1Y8	IGLV9-49	NA	NA	NA	NA	NA	NA	NA	NA	45.5688	53.799	NA	59.7102	48.9386	57.6373	88.131	NA	NA	87.5164	37.5074	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.6373	NA	48.8742	NA	47.1999	140.335	46.7118
A0A0B4J2B5	IGHV3OR16-9	44.8992	44.9348	36.9594	30.2406	93.2583	NA	48.7615	NA	122.886	277.41	213.193	422.171	292.159	551.393	179.855	40.2343	17.2437	419.785	232.901	58.9012	104.485	127.435	213.951	74.7848	89.9979	97.3924	83.4987	132.61	259.996	197.788	207.615	400.996	378.332	195.193	210.901
A0A0B4J2D5;P0DPI2	GATD3;GATD3B	1223.09	1004.78	1504.09	1663.43	902.296	708.775	510.944	721.821	2056.76	558.732	1096.42	995.567	727.176	611.957	575.652	1027.61	986.111	788.75	718.406	893.876	989.355	879.685	708.474	793.423	976.337	793.963	439.857	755.738	464.795	808.08	397.674	658.572	1123.35	1361.2	532.054
A0A0B4J2F0	PIGBOS1	48.8185	36.7239	43.9833	35.3675	33.1846	27.0591	27.0717	30.8453	30.5049	22.4277	NA	38.1754	NA	17.4311	23.5699	22.1487	NA	NA	19.7573	21.0872	22.5173	18.5265	17.4501	13.3171	27.174	16.616	18.6654	22.9517	17.9825	31.1634	19.7428	23.4622	43.0798	39.7508	23.6338
A0A0C4DH25	IGKV3D-20	32.3153	29.6109	NA	NA	44.3958	NA	NA	NA	82.2387	81.236	46.1453	265.1	111.577	125.729	81.2244	NA	NA	168.768	73.6756	NA	48.5405	64.9902	124.609	52.729	31.277	26.6519	61.0681	43.9172	119.159	83.3621	156.401	123.871	198.664	64.1958	85.4336
A0A0C4DH29	IGHV1-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH34	IGHV4-28	NA	24.998	15.1065	NA	29.8271	NA	NA	NA	55.3361	66.268	41.0067	111.045	40.9384	83.6845	76.0497	NA	NA	62.0124	29.0518	18.2949	17.056	18.1978	34.616	18.4864	20.2559	NA	32.8756	32.9365	57.6563	61.6944	47.0749	56.0056	48.542	49.2993	38.9332
A0A0C4DH36	IGHV3-38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.1241	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.9269	NA	NA
