Patient_ID,Expected,rna_BSN,rna_PCLO,rna_PRKCE,rna_PTPRT,rna_CIT,rna_MAPT,prot_PTPRT,prot_CIT,prot_PCLO,prot_BSN,met_hypotaurine,met_creatinine,met_citricacid
GBM_Tumor_01,GBM (training cohort),942.0,123.0,1649.0,503.0,3195.0,6265.0,-0.205843217216601,-0.202307688114283,-0.877486360456679,-0.895007118132748,25.3750641280134,20.3819674893084,21.5631835186191
GBM_Tumor_02,GBM (training cohort),975.0,773.0,1410.0,521.0,2259.0,3015.0,0.212898277796364,0.237988007767133,0.649516946752404,0.708624672413764,23.752148443779,20.835845727379,21.0531720590925
GBM_Tumor_03,GBM (training cohort),2422.0,3215.0,1472.0,234.0,2181.0,6473.0,0.353343792166124,0.208388116521905,0.556257335368449,0.775903556081115,21.9944239525022,21.8590779331075,20.0742446753659
Brain_Normal_01,Non-GBM (healthy brain),23419.0,23695.0,8826.0,17292.0,12196.0,17723.0,2.30955828869005,2.51451068069656,3.18936886693729,3.43461832744499,19.053580850468,22.943848586036,20.4651646259881
Brain_Normal_02,Non-GBM (healthy brain),39069.0,26193.0,11542.0,17024.0,16238.0,22152.0,2.09498946082147,2.39922071310595,3.19408710728156,3.47723076866275,18.6841292301276,22.8013249020736,18.5359932992477
CGGA_Glioma_01,GBM (independent glioma cohort),3.15,0.32,8.82,9.78,16.93,180.86,,,,,,,
CGGA_Glioma_02,GBM (independent glioma cohort),1.75,1.03,5.51,4.26,55.49,123.16,,,,,,,
CGGA_Glioma_03,GBM (independent glioma cohort),0.78,0.17,4.03,0.66,2.17,20.72,,,,,,,
PDAC_Tumor_01,Non-GBM (pancreatic cancer),8.441488369,11.41167324,10.33835088,9.699762698,8.701114294,7.494093898,,,,20.0436661,,,
PDAC_Tumor_02,Non-GBM (pancreatic cancer),6.043361004,6.152669749,9.420740465,6.907542486,8.738656734,7.095302786,,20.514752,,,,,
ccRCC_Tumor_01,Non-GBM (renal cancer),5.1463,10.0218,9.6418,3.0125,11.7516,8.852,,23.3594388476975,21.2652407088333,,,,
ccRCC_Tumor_02,Non-GBM (renal cancer),5.0767,9.5121,9.682,1.8339,10.7517,8.6327,,22.4471902226499,22.2531597330714,,,,
