,C3L-03123,C3N-03884,C3L-03630,C3L-03356,C3L-01054,C3L-04495,C3L-02610,C3L-03388,C3N-02768,C3N-01998,C3L-01971,C3N-00249,C3L-01637,C3L-01598,C3L-02809,C3L-02606,C3N-01997,C3N-02589,C3L-04479,C3L-01051,C3N-03211,C3L-04473,C3N-00436,C3N-00513,C3L-00277,C3L-00881,C3L-04848,C3L-01037,C3L-01036,C3L-03395,C3N-03780,C3N-00957,C3N-04282,C3L-00819,C3N-03440,C3N-03061,C3L-00189,C3L-01124,C3L-03632,C3N-02010,C3L-04072,C3N-00518,C3L-00102,C3L-00928,C3N-03840,C3N-00517,C3N-02585,C3N-03426,C3N-02944,C3N-02592,C3N-04119,C3L-04853,C3L-03639,C3N-00514,C3L-00640,C3L-01052,C3N-02573,C3N-02295,C3N-00709,C3L-01031,C3L-01053,C3L-00401,C3N-03839,C3N-01011,C3N-03069,C3N-00512,C3L-02899,C3L-03513,C3L-03514,C3L-03515,C3L-07032,C3L-07033,C3L-07034,C3L-07035,C3L-07036
A1BG,27.92162122,27.62740788,27.94803032,27.88440058,28.59550868,28.15697386,28.66696207,27.93309322,28.54817396,29.36491074,28.01267534,28.14589912,28.2793901,28.25677427,29.49314531,28.28441795,28.03020948,28.45120622,27.75728702,27.40231081,27.33514708,27.87792163,28.44155529,27.67525094,28.47008899,27.87908558,27.9427767,27.57023448,27.98793791,28.89689874,27.86962964,27.89216402,29.64407698,28.08290892,28.15540066,28.05618009,27.91597361,28.13609675,28.12006426,28.57174655,27.82100269,30.13690734,28.36685505,27.74636375,27.37766415,28.10484898,27.91798247,29.03901381,27.41586257,28.02613632,27.50473293,28.20153569,27.53564908,27.95269412,29.10460758,28.42841875,28.26016286,27.82356628,28.30288428,27.91275876,28.0804217,29.58437632,27.76644769,28.4129341,28.26619292,28.22016799,29.72816019,29.22396293,29.15483859,27.90508378,28.14009881,27.97955036,27.27887982,28.15842925,27.42148701
A1CF,23.91364411,25.13052153,25.41897204,25.47437609,25.22919904,25.14781432,25.15153085,25.16931144,22.82015937,23.68096787,25.94227935,26.16638266,25.07044587,25.2934988,23.83533755,24.71715661,25.72133061,24.2059765,25.73925135,25.38678167,26.0336819,26.10077479,24.32801739,26.00850871,26.23851281,26.96076835,25.60747188,26.02589204,25.64251905,25.00011303,24.43757773,26.27267258,23.0014638,24.02347243,25.22124814,25.7078376,26.4538069,25.48015313,26.25226309,24.15758102,23.75939394,24.53558047,24.48565264,26.17974617,25.91716579,24.92239842,26.473957,22.73395311,25.72564672,24.97235495,25.4470994,23.65392839,25.1415808,25.07151362,23.92992385,25.46390908,26.28773259,25.43021044,26.10425402,26.20389404,25.72514788,24.31579127,25.15132662,23.90871233,25.67524049,25.9439594,22.84707155,23.73558832,24.8503714,25.67094721,25.59511416,25.3105699,25.50978636,25.25689338,25.79800171
A2M,28.88214553,28.80245665,29.46905278,29.53378244,29.75678796,29.26021004,29.91627008,29.01010198,30.12246427,30.8984599,29.98948827,29.3341246,29.54969016,29.19990217,30.95453956,29.65354636,29.0550688,29.91418444,28.40685546,28.71717339,28.52939102,29.2134726,29.86783246,28.89807137,29.50032365,29.14371335,28.79265027,28.8947719,29.14029551,30.14849548,29.18838768,29.06711873,30.81438552,29.34251591,29.49757034,28.83970499,28.3984907,29.10007655,29.19322768,29.46064118,29.14681925,31.10979213,29.49798038,29.2494807,29.14649969,29.66100654,28.94363989,30.91023697,28.53331369,29.28769182,28.13697733,29.38387192,28.52480954,29.73561245,30.15906018,29.65939404,29.7480085,29.49535972,30.12605512,29.26034637,29.09014548,30.64753517,28.52226903,29.73498602,29.73178006,29.49019084,31.11246206,30.77832251,30.07892415,28.98728627,30.37287023,29.13970198,28.4492943,29.1390952,29.01361962
A2ML1,NA,NA,NA,NA,NA,21.11392163,21.10903283,19.62795676,19.7782022,21.66551247,20.94505185,NA,NA,21.17053101,21.57396862,21.24038442,21.07144463,20.99769347,20.69809172,NA,NA,20.4326113,20.43450389,19.3114557,19.34887935,19.31522622,18.46090149,20.41307561,20.96047856,19.75582775,21.62785206,21.10978138,20.50369284,20.4404513,20.3987319,19.63309551,19.93563629,21.08413375,20.9367309,21.32245204,21.22660109,21.50440678,22.07820936,21.70458243,21.49251668,21.27730124,21.62296409,21.27428405,20.86322821,21.08233301,21.00126998,21.3407819,21.09858835,21.20046679,20.795628,20.96625324,21.02375952,21.46294407,21.08368986,NA,NA,20.93903233,20.9863092,21.57489553,22.03462521,21.95194197,21.07904419,NA,NA,NA,NA,NA,NA,NA,NA
A4GALT,NA,NA,NA,NA,NA,14.94988765,15.55819916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4GNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.57809895,17.80253779,NA,NA,NA,NA,NA,NA,NA,NA,18.09199589,17.79735395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAAS,22.32456689,21.64445631,22.67275898,22.57871143,22.65099447,22.7943577,22.60071586,22.23711752,22.46197381,22.44326738,22.50366983,21.95638143,22.03096022,22.48993846,22.57634459,22.34741578,22.42462134,22.61996031,22.59869768,22.30167274,22.4266748,22.58167078,22.27396666,22.42416389,22.05843549,22.25114962,22.78709399,22.50190485,22.13639857,22.67693701,23.07972331,21.93104588,22.22773853,22.54370645,22.40110297,22.55241385,22.6174703,22.5507473,22.48459731,22.52352845,23.10216814,22.42426644,22.34650219,21.96561245,22.42011816,22.17905698,22.6741481,22.59145148,22.72530138,22.86185082,22.87572815,22.85881094,22.85268669,22.6314704,22.67304332,22.64837477,22.7633107,22.68278738,22.65094659,22.81585132,22.99960331,21.87444743,22.94337262,23.01879086,22.75512857,22.82892197,22.51769831,22.55054803,22.84303539,22.70819115,22.60034923,22.97379111,22.87341738,22.94608233,22.87066327
AACS,24.16283365,24.29677449,24.70154982,24.43354489,23.85126683,24.03118511,24.37289043,23.3104518,23.19562943,23.69833443,23.8222244,24.44186986,24.08250038,24.16063089,23.99781898,23.12053181,24.19294465,23.85768557,24.30974235,24.04187185,24.19842029,24.59548708,24.56566419,24.49577369,24.5002247,24.33352131,24.2129249,24.64036897,24.2864293,24.24687537,24.1116954,23.84139446,23.53801904,23.92104362,23.73702972,23.89221525,24.62932045,24.10932577,23.99734437,23.62482701,23.63823433,24.05832621,23.57422999,23.58760872,23.72362297,23.53576073,23.15003617,23.88253993,23.2637701,23.98850377,24.11751794,24.07428491,23.83060187,23.63588736,23.79368862,23.54879929,23.54980427,23.69322604,24.247029,24.33222318,24.51446988,23.99851733,23.19074933,23.50730367,24.44345401,24.30608213,23.66833038,23.65818924,24.02859972,24.21998253,24.42631198,24.15470883,24.8314629,24.72878941,24.44093817
AADAC,22.70898928,22.47264748,22.4069949,23.31839169,22.45299403,22.24189469,21.69808255,22.93664916,22.24337879,23.2317173,24.35600072,22.58632861,23.67697563,NA,NA,22.61429899,22.39999849,22.34036015,23.09068768,22.28356392,23.12600896,22.41825583,23.11663597,23.17818887,22.26097464,22.55091856,22.59978709,25.19334076,22.88704441,20.43906374,22.83961044,24.35173767,22.5986527,23.19006039,NA,NA,NA,25.1378498,23.51815008,21.10851532,21.09535929,20.73141332,23.38251589,NA,NA,NA,20.65275219,21.49317102,23.81525359,23.77771343,22.40849258,21.58226028,22.900625,23.53042619,20.2480732,NA,NA,NA,NA,22.79813648,22.22895563,21.17216253,23.02676525,22.86990198,24.41652821,24.69695312,20.74013417,19.67591847,19.72878193,21.39066347,21.61159858,20.49056153,22.23800511,22.15157361,20.11429433
AADAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89656346,13.86450418,13.88245173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
