,C3L-03394,C3N-03428,C3L-02112,C3N-01719,C3N-03670,C3N-02998,C3N-03211,C3L-01052,C3N-00512,C3N-02295,C3N-01012,C3N-01502,C3L-01053,C3L-03632,C3L-00401,C3L-01054,C3N-00517,C3N-03440,C3L-04495,C3N-04284,C3N-00957,C3L-03395,C3N-00303,C3N-00513,C3N-01166,C3N-01382,C3N-01011,C3L-04473,C3N-01997,C3L-00640,C3L-00189,C3N-01998,C3L-01036,C3N-03069,C3L-00881,C3N-01715,C3N-03426,C3N-00198,C3N-01380,C3N-01388,C3L-03388,C3N-02589,C3L-03356,C3N-02944,C3N-00436,C3L-00928,C3L-01124,C3N-02592,C3N-01383,C3N-03439,C3N-03006,C3N-01165,C3N-03173,C3L-04475,C3L-04853,C3L-02115,C3L-02701,C3L-00102,C3N-01375,C3N-03884,C3N-01168,C3L-00622,C3N-01381,C3L-01703,C3L-02118,C3L-03628,C3N-03780,C3L-01637,C3N-04119,C3L-02899,C3N-02971,C3N-02573,C3L-00819,C3N-01714,C3L-02890,C3L-02116,C3L-01453,C3L-03635,C3N-00518,C3N-03840,C3L-02606,C3N-03061,C3L-04848,C3N-00514,C3L-02897,C3L-01687,C3N-02940,C3L-04080,C3N-03853,C3N-04283,C3L-02109,C3L-03630,C3L-01662,C3N-00709,C3N-03007,C3N-03665,C3L-01598,C3L-00599,C3L-01051,C3N-01716,C3N-03839,C3L-04479,C3L-00625,C3N-03754,C3L-01037,C3N-03666,C3N-04126,C3L-00017,C3L-01689,C3L-04027,C3N-02585,C3N-03039,C3N-03086,C3L-02463,C3N-00249,C3L-00589,C3N-00302,C3L-03743,C3N-00511,C3N-03190,C3N-00516,C3L-02610,C3N-02579,C3N-03000,C3L-00598,C3N-03430,C3L-02809,C3N-02768,C3L-03123,C3N-02010,C3L-01031,C3N-01167,C3L-01971,C3L-02604,C3L-00277,C3L-01328,C3L-03639,C3N-04282,C3L-04072,C3L-02613
A1BG,28.67421103,28.3296562,28.39847182,28.69733004,28.58614799,29.80304,28.38467641,28.86690623,28.52419583,29.08322729,28.40259788,28.37821975,28.13125222,28.26820267,27.9450388,28.48861425,28.40643175,28.86038994,28.36874683,27.37182459,28.57945815,28.46909153,28.85459138,27.91951204,28.43656931,28.11590507,28.54513261,28.23802287,27.8802336,28.17097561,29.09533063,28.08916598,27.64206026,29.09628093,28.15134005,28.53841039,28.77522134,28.65376686,29.28233495,28.67994929,28.17994445,28.98226952,28.68514924,28.56566578,27.60458731,28.10969074,28.68251607,28.77321637,29.28290931,28.93418333,28.41250813,28.46336236,28.47052032,28.68119681,28.19422222,28.40554311,28.06178853,28.84469694,28.70850815,28.39276788,27.68574631,28.16902724,28.10550684,28.65870083,27.98900776,28.27088633,28.26816847,28.22877226,28.59917786,28.64746548,28.90666338,28.64306416,28.34873738,28.28743835,28.55553543,28.85653653,29.2798775,28.81969685,28.93314775,28.43482326,28.62680526,28.4132568,29.12253894,28.46136589,28.52202885,28.20205484,28.03661309,28.36951296,28.75265825,29.00120812,29.65454056,28.09778207,28.28607681,28.55706166,28.8877995,27.80008621,28.46532608,29.47523925,27.93065694,27.84549659,28.59561721,28.58124093,29.05788457,28.11162482,28.51472134,28.82352463,28.4471917,28.60148598,27.77792877,27.94720643,29.22363637,28.28246005,28.64876409,27.79147332,28.3207065,28.86057932,29.13262751,28.56800707,28.38911451,27.88861019,29.32558585,28.14872199,28.44010553,29.29224969,29.30472332,29.33524794,28.74456409,28.18931584,28.21922831,28.1256684,28.26902848,28.57842309,28.12797007,28.47468925,30.15456602,28.36851242,28.84079485,28.8458814,27.416247,27.93686004
A1CF,24.02034599,22.16588047,24.0217964,23.194085,23.73285224,23.30310022,23.15165593,24.221218,23.01182558,22.91569673,23.86337304,23.31168831,23.60626431,24.50559642,23.43718296,23.72317387,24.6802332,23.72243455,23.76055607,24.70560719,22.32504658,23.3161988,23.20464346,24.28383656,23.53829495,24.03719416,23.53064765,22.85016572,24.03822526,22.93439732,22.91570364,24.0101801,23.22625792,21.8863937,23.27299067,22.49608987,23.59649474,23.96442818,22.59616977,22.35224281,22.97228288,23.37292675,23.15140347,23.69974429,23.01064664,23.49665527,23.42537278,23.02202395,23.04122592,23.10021766,23.47625892,23.52561566,24.1534094,22.56953069,23.60768543,24.59299615,23.19838826,22.99288494,22.53580242,23.55190301,24.46178982,23.14589212,24.24427944,23.33254987,23.09339117,23.42136153,23.05156856,24.11554349,23.08794965,22.39914456,23.13138424,22.87215166,22.67112234,23.11112225,23.85277234,23.23331642,23.19437733,23.03916108,23.26090466,23.34397216,22.90426178,22.70203789,22.5280554,22.88425516,22.35554938,23.79423059,23.48923619,23.60405042,23.63210045,23.87786823,22.88730833,23.12686979,24.04158586,23.85881344,23.08859664,22.91571725,23.52245798,23.93133791,23.7704003,22.63492809,22.69473834,24.1890626,23.20195816,23.5152869,23.6778703,22.84518055,24.1573607,22.91065373,22.6413195,23.04006163,22.55717752,23.5660481,22.25994238,22.46043599,23.73236237,23.56179512,23.1334154,22.88354253,22.44836151,23.90006285,22.44996693,23.48936959,22.67170444,23.55569185,23.0966002,22.92995134,23.41935989,23.17615569,22.92957295,23.41227111,23.07733366,24.20768051,23.87877903,22.44170558,23.34056688,22.70219662,22.60434366,22.79749669,22.14259237,21.4695237
A2M,29.77424114,29.4629407,30.13905014,31.00213927,30.02926504,31.13837348,29.68117853,29.82178389,29.98718175,31.38230199,29.57477862,29.78364359,29.40329324,30.21232391,29.47505707,29.94421598,30.02880493,30.63943136,29.40437959,28.60049441,29.53040798,29.56437386,29.7120896,29.24330058,29.80584346,29.2379439,30.12828934,29.59601676,29.20811521,29.41183896,29.91393654,29.30718444,28.82399743,30.6929075,29.47403748,29.34210134,30.45202631,30.44515251,30.26692669,30.22157055,29.03755679,29.73047021,30.73942136,29.6350967,29.2946236,30.17748359,29.32852748,30.49360574,29.6262868,30.12836864,29.65691441,29.48394834,29.97504646,29.9577065,29.03985839,29.63023797,29.82089277,30.92784245,29.72155518,29.17259125,28.58083656,29.17760339,28.8486623,30.65432884,29.07422245,29.38406274,29.75846432,29.11695449,29.23685651,29.57176978,29.54568103,29.80881701,28.61690986,29.77573884,29.68618,30.35515086,31.10700261,29.61968921,29.77445957,30.18527161,29.35332918,29.11739139,29.80586806,30.25031646,30.0932907,29.56918214,29.34650056,29.98777799,29.73909181,29.96217739,29.93805414,29.70998597,28.91280291,30.60850399,30.14142128,29.41559689,29.45680869,29.62588658,29.14030016,29.3062102,28.81263538,29.51705454,30.27808515,29.44833599,28.95125582,29.6990069,29.71657877,30.23486277,28.88072446,29.70939025,29.89969461,29.00462884,29.58474916,29.92408732,29.46224721,30.25328094,29.19770529,30.33731335,29.89978823,29.24567794,29.73328644,29.3225152,29.19771543,30.2719663,29.58449331,30.01045903,30.03192627,29.44674044,28.85507942,28.87696339,29.31317548,29.7701394,30.41817105,29.77023101,30.1934855,29.51484138,28.98934138,29.26582284,28.12183099,28.73312937
A2ML1,NA,19.621216,21.54040716,21.30342205,21.37553961,21.31767203,NA,21.38898053,21.6869845,21.71075649,NA,21.29604311,NA,20.87013964,22.19851163,NA,22.38955621,21.29423074,21.13538885,21.58264122,20.21979104,20.21368202,22.71227224,22.96645046,NA,20.94377609,20.68415637,20.61534148,20.86058556,21.44100569,22.20754268,21.09306639,21.0944598,22.4761604,22.50621325,NA,22.02036216,NA,21.36927188,21.82828666,19.77366085,21.19866508,NA,24.54883464,22.63120102,21.74657304,21.1704591,21.35091547,22.99271521,19.7162038,21.15812133,23.87136739,21.55050046,20.84351169,23.77710871,20.63539984,NA,21.55602712,21.51886084,NA,21.60618224,21.98061284,21.9761185,20.61365551,23.72801872,21.53671592,22.06053076,NA,22.87260018,23.87042498,NA,22.23310812,22.63744106,21.2310493,NA,20.99149469,23.13064112,21.31976476,22.83178944,22.1998206,23.96754864,23.54347853,19.73188977,24.33330688,22.82540241,NA,NA,21.21516762,20.88835701,22.657078,21.86412922,NA,20.78777859,21.18003506,23.27481389,21.46513255,21.68029998,NA,NA,21.1721188,20.67556387,20.92031536,21.7519395,21.27347534,24.36750016,20.91678598,24.40205567,19.99805984,20.71776197,21.30939795,23.31544347,21.12869707,21.05548125,NA,NA,NA,21.14864929,NA,20.82983437,NA,23.93831478,20.82666063,21.61035495,22.59346945,25.75191302,19.69311294,21.29724522,22.93345302,NA,20.09004663,NA,NA,21.65136177,20.88135291,19.78170914,21.5091565,20.65736753,22.6068436,24.45627094,21.45204506
A4GALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.95816041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.88542573,16.25752016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9977065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.11578066,NA,15.55613305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4GNT,NA,NA,NA,NA,NA,NA,17.49339807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.96927043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6573236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.33716679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1270532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.27930981,NA,NA,NA,17.15725364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.41670186,NA,NA,NA,NA,NA,NA,NA
AAAS,22.57967175,23.00334814,22.377846,22.66110763,22.6859726,22.8601481,22.68421698,22.87497355,22.69961511,22.49542756,22.65773559,22.66426804,22.83154593,22.65035748,22.58575416,22.39156136,21.74769479,22.60263711,22.7539038,23.02261942,22.71552916,22.55195269,22.80935605,22.3277439,22.44449727,22.72403156,22.64098809,22.54008597,22.76558769,22.59979256,22.79717633,22.60676503,22.28583659,22.47304355,22.57062824,22.75259486,23.21595396,22.46223279,22.59265493,22.75374688,23.02511845,22.68831779,22.75993787,22.65210012,22.57306927,22.46476445,22.67295672,22.64363976,22.56229416,22.83179053,22.57152484,22.54528608,22.5819598,22.97918883,22.85058213,22.33772769,23.14198904,22.90995292,22.35994109,23.17808162,22.81449256,23.03294333,23.07073732,22.38633563,22.59447338,22.69587277,23.02783382,22.21826648,22.64773526,22.57767349,22.66682366,22.52731451,22.8042955,22.92640656,22.3378071,22.52924457,22.78092449,22.68046298,22.3003593,22.50326223,23.32473748,22.68282387,22.8999729,22.40823069,23.17389756,22.37783332,22.69689956,22.63274079,22.7801631,22.93495925,22.80849402,22.69740611,22.76956218,22.63341866,22.66609526,22.69381807,22.78483581,22.51579813,22.36840509,22.35483439,22.55586867,22.90758457,22.88741427,22.78063339,22.36512523,22.71021478,22.75130854,22.53631422,23.34337346,23.24678391,22.56156281,22.81224188,22.88743734,22.97891195,22.53963188,22.35014589,22.79788249,22.84967054,22.63901436,22.62438278,23.02952957,23.02874971,23.23322977,23.00407329,22.33108319,22.71042779,22.86628573,22.87670789,23.15115089,22.89204204,22.66375262,22.4893832,22.8290387,22.82094325,22.7644296,22.86327139,22.81871584,22.94543995,23.40978011,23.29617393
AACS,24.00912183,23.38281994,23.83502085,23.72010407,23.79579067,23.59503504,23.96788725,23.59400532,23.7762914,24.01476857,23.855617,24.87748472,24.07501077,24.03058721,23.79264773,23.78634512,23.00468841,23.50208045,23.85644547,23.79266075,23.93733931,23.7755274,23.5772176,23.41602245,24.22726689,24.01909291,23.74376033,24.12456338,23.96858162,24.57193075,23.81136321,24.12952881,24.40052993,23.84010052,23.82624519,24.0465467,24.38408862,24.19812942,23.70085042,23.48054812,24.47352499,23.81839967,23.57156551,24.0588613,24.22872196,23.89002662,24.55230534,23.31214417,24.21401859,24.44658966,23.80684813,24.01818076,24.36521223,23.86617446,24.05389729,24.50731169,24.17443669,23.80137861,23.84633649,24.17322431,24.19541823,23.59473112,24.43544423,23.69981879,23.93922696,24.26051471,24.35152312,24.36550416,24.06166679,24.18092859,23.60359603,24.17318853,24.17781234,23.7044421,23.6191361,24.072892,23.81282534,23.82344235,24.23405401,23.56574643,24.33271591,24.01659984,23.30482346,24.04044301,24.06927578,24.3413108,24.12192312,24.06412017,23.47541719,23.92101526,23.74802549,24.45268939,24.5826646,24.43771985,24.03087946,24.84661319,24.06687142,23.85706244,23.89437365,23.76103656,25.97443616,24.12368501,23.93601528,23.97428638,23.26411691,24.17820443,24.13991132,24.68885512,24.71977591,23.97653166,24.15867334,24.8355,24.19267402,23.78835336,24.63719173,24.09397366,23.91925064,24.06176996,24.94904318,23.98659099,24.07001725,24.0881613,24.0452703,23.52628732,23.36625101,23.9625978,23.18375322,23.64740736,24.32839522,25.10599981,24.22360241,24.42240354,24.00325248,25.10839366,22.72521777,24.13596056,24.54028073,23.56630779,25.03129629,24.04806559
AADAC,21.8322837,22.1410144,NA,21.0472768,22.0719084,20.86940094,22.39045914,NA,21.58252828,NA,21.26177707,22.79654054,21.82380038,22.74888947,21.8093472,21.26134975,NA,NA,20.8294712,23.1270477,21.78519248,20.772155,NA,21.91471288,20.95881791,21.86604741,22.06960884,22.3345727,22.47269384,20.50690848,NA,23.4099779,20.84931235,21.72651902,21.31771357,18.7656582,21.86927973,22.71677608,19.98796798,23.21676188,22.61754225,21.9692318,20.29666146,20.24672581,22.50171459,NA,21.43493451,20.44604238,21.45900218,19.48353894,22.90980126,22.12797184,NA,22.59123975,20.70346634,22.9567691,19.75981927,21.04902659,20.79045629,22.76779656,23.37446583,NA,23.81145748,20.93418022,21.53558017,22.42787417,20.7549174,22.95897869,20.46325516,21.56899019,21.15804387,NA,22.04001037,20.11788544,20.40900656,21.05193318,NA,NA,20.7698717,NA,23.09276532,NA,21.84813819,20.23944852,19.98789837,22.87823947,22.84903088,22.90005455,21.77660907,21.11900188,NA,20.48781974,NA,NA,20.20428872,20.91283365,NA,21.90310166,22.66894002,22.49021398,21.11646252,23.63638211,NA,NA,20.67429618,22.12080812,21.45681727,19.82116057,21.92040457,NA,19.40705548,22.23744497,21.67458052,22.24481589,21.55978212,22.32111955,20.73070908,22.41133938,21.98044756,21.02306648,21.87566066,21.07084416,21.42254649,20.80599114,NA,21.84854736,NA,22.41251065,22.29366658,20.86671201,21.87207014,22.62052734,22.84356521,19.85562923,21.44570243,20.52731645,20.2591123,21.9322246,20.49604856,20.97190203
AADAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89725038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.01872726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.73249749,NA,13.62344509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.88750465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8074172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55543957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
