,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
A1BG,6.470045027,7.948130338,6.745414885,6.98769213,7.369777258,7.460005304,8.010040831,6.563056804,6.623190378,7.748604796,7.132303672,6.312124899,6.68583191,6.922066567,6.728698812,6.7078386,5.724580451,5.812888722,5.390464305,5.05784509,6.878962065
A1BG-AS1,5.79430571,7.205760438,6.924108025,5.738771471,6.706349914,6.676239195,7.48926946,6.617872379,5.7677455,7.326259773,6.350176213,5.683234307,6.635945029,6.891660051,5.845922855,6.354684653,4.470261125,5.751745809,6.042867221,2.908318658,7.128462627
A1CF,9.604494008,8.61338866,9.860207317,9.117112404,9.52281505,9.840777924,10.12642715,9.900573024,9.958159064,10.12510281,9.410652748,9.011275929,8.616691858,7.942526271,10.12515387,10.46192004,10.02236205,9.918730308,8.903762196,11.7733602,8.98082165
A2M,15.29846863,15.87364758,15.9488942,15.67449696,16.24291066,15.92698298,15.5614234,15.79092333,15.56903553,15.11069069,16.05724425,14.79969324,16.1710376,16.46539098,15.91226098,15.16042508,15.43304725,15.7341381,15.78708915,15.52033657,16.0795496
A2M-AS1,7.504130568,8.364308747,7.570333346,7.211567966,8.253429171,7.895060213,9.143079179,7.014056208,7.727894266,8.033519864,7.647527456,6.987629581,8.957241648,9.039988071,8.552268698,7.214343003,7.242961086,7.33363126,7.156746577,7.153321952,8.700780436
A2ML1,2.434635123,2.805727249,3.249021225,2.865207261,2.642589863,3.107687869,2.885514382,2.592873792,2.54948935,2.780526996,2.642136051,2.887145007,2.57576553,2.634082262,2.670097105,6.971159471,6.056029475,2.739504061,2.570294532,2.95930358,2.792767393
A2MP1,3.880060079,4.167507326,3.890590961,3.232877282,3.782934756,2.584962501,4.06549216,3.009181516,3.535766462,4.207333044,3.6642538,1.112773552,3.892990371,5.423055997,3.802428579,3.193960517,1.768911038,2.881484858,3.149011031,2.215633528,4.575136243
A3GALT2,0,1.998840423,0,1.019859233,0,1,0,0,0.986277112,0,1.620018303,2.225547105,0.996442126,0,0,0,0,0,0,0,0
A4GALT,7.755189064,8.717033305,8.244682917,8.744685405,8.151604121,8.266927056,8.716406076,8.155196012,7.691294451,8.493738633,7.973834944,7.421116606,8.0655956,8.967970813,7.809932908,7.481578401,7.117050115,7.89155045,7.776804686,7.01428981,8.153908989
A4GNT,9.300934661,4.641163735,7.832914777,7.688880725,7.994516612,6.392317423,5.017279799,8.199945086,7.725400142,6.921898719,8.12416722,7.471434837,5.786693084,4.16513329,6.719215187,7.54569216,7.190702533,7.761928093,7.082246695,8.369100176,4.134065051
AA06,0,0,0,0,0,0,0.994624861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,9.82325634,9.705176218,9.763470383,10.01845178,10.01939437,9.829722735,9.787882372,9.631157059,9.963347391,9.785170988,9.934359819,9.853463348,9.703445353,9.550969342,9.56125983,9.85591042,9.643019714,9.435020968,9.504830308,9.945181196,9.414465785
