Metabolite	C3L-00365	C3L-00674	C3L-00677	C3L-01043	C3L-01045	C3L-01048	C3L-01049	C3L-01149	C3L-01157	C3L-01839	C3L-01887	C3L-02041	C3L-02465	C3L-02504	C3L-02542	C3L-02642	C3L-02704	C3L-02705	C3L-02707	C3L-02708	C3L-02900	C3L-02970	C3L-02984	C3L-03266	C3L-03407	C3L-03681	C3L-03727	C3L-03728	C3L-03748	C3L-03968	C3L-04084	C3N-00661	C3N-00662	C3N-00663	C3N-00665	C3N-01192	C3N-01196	C3N-01334	C3N-01364	C3N-01368	C3N-01369	C3N-01370	C3N-01505	C3N-01515	C3N-01517	C3N-01518	C3N-01798	C3N-01814	C3N-01815	C3N-01816	C3N-01817	C3N-01818	C3N-01850	C3N-01852	C3N-01856	C3N-02181	C3N-02183	C3N-02185	C3N-02186	C3N-02188	C3N-02190	C3N-02255	C3N-02256	C3N-02769	C3N-02770	C3N-02782	C3N-02783	C3N-02784	C3N-02785	C3N-02786	C3N-02788	C3N-03070	C3N-03088	C3N-03180	C3N-03182	C3N-03183	C3N-03184	C3N-03186	C3N-03187	C3N-03188	PT-NPJ7	PT-P44H	PT-Q2AG	PT-R55F	PT-RN5K	PT-UTHO	PT-WVLH
2-hydroxybutyric acid	21.3523907593443	21.5011470164461	23.076170784861	21.5749327406848	20.7784203920986	21.3259786061019	21.201397423976	20.9009855399465	22.5879343034697	21.6689908656077	21.3547000232308	21.9831702058352	22.1144808540806	21.2231997369265	21.2535988176936	21.3090748446765	20.9112884931037	21.7825333876774	21.1485093749946	21.2519801852969	22.6072071658432	22.9484506398765	21.9423124046765	21.7971198042868	22.5698658961228	22.1478163308716	21.3359170421704	22.109497889656	21.8217815994025	20.6395496389377	20.2651928454422	22.2383782378737	20.7120357913844	22.0779618705417	21.4988681804014	22.4094125321393	21.7886706358407	21.9290764582475	20.9656477701094	21.8634222508709	21.7821078073066	21.4843823507452	21.6142959813949	22.3718938140096	21.2255194957576	22.3542547237238	22.182022160139802	20.2480982259539	21.2009909147675	20.9968233806435	21.5849797863777	20.3591589753424	21.4879684204154	22.3881103280705	21.7610403122716	22.0577076268738	21.8540605396162	21.956373204551	22.1604842257181	20.648164369247	22.0069978763487	21.2099417826334	22.5772850675511	22.584693857433	22.1128339845425	21.6442154885956	21.6705769185793	21.201397423976	22.5245176523823	22.5665501184108	21.6280806589983	21.7087911014368	21.413010267697	21.6765254887084	21.9847109965342	21.1966441025779	21.201397423976	21.1212238798306	22.0124430984663	21.2090324192275	20.2500499739957	21.8837473352691	20.5511316874588	22.0626273633364	21.340314900808	21.6659450919976	20.8035120573395
2-hydroxyglutaric acid	22.0669180877902	20.9050395764144	21.0504323995772	20.932176736194	20.8117296740352	21.5406393493576	20.5362993423033	20.2646071320692	22.695897119399	21.2799174203852	20.9428871930132	26.080352518997	21.2317226808833	20.871128885241	22.2005093922605	20.9637462023292	20.6254290433802	20.0671686117387	20.7693321596893	26.906548772664	26.6364817153718	22.7860523261482	26.575812463202	21.300611205623	21.3494593985792	22.1863773422924	20.6034210060166	20.6524086031546	21.1311704262206	21.5716907970393	21.152322848444	20.7506920160247	21.364815479001	25.965373113809	21.8747798184006	21.0397346181395	21.6106404591108	21.1167425939756	20.7095705937724	21.1431777521592	22.062354816057	21.3836463681316	21.3831512850345	21.9456700496492	20.5007283124149	20.9455547178253	21.1700902730652	21.3010162000481	22.2065931834512	21.7719204551791	21.4439888958559	22.2675419968615	21.7715702664649	21.4993404569761	21.3121050679103	21.9073908514883	21.1937323207383	21.3181489160091	20.9769582425818	21.2173603575353	20.857900118448	21.6616299735739	21.3867844912401	21.3259659639537	21.2036554341344	21.5631987740977	21.4458221480991	21.2066760655853	20.9775501292041	21.9650048220996	21.4087875307527	25.8274914530914	20.9354467418692	22.1360251631199	21.3856526025225	21.206150745374	21.728995923823	21.4854117990472	21.6291580012149	21.4227324651627	21.0833590257125	21.3853890087519	21.2209186197854	20.1139657810449	20.5591793521893	20.95220877046	21.0143107609493
3-hydroxybutyric acid	22.0424866683347	21.5580456705055	23.7697295976981	21.8279167160084	23.0789621002338	21.2911763033172	21.8196928349844	21.7492576229784	21.9139132345651	21.3086843565106	22.0857656951146	21.7475704134626	21.389500579336	21.1030917918012	23.8500876052767	20.2959364850125	21.6678555735207	21.605648022103	21.7941049292528	22.0171377937544	23.0640768846724	22.0581885198894	19.5556932578273	21.2102867674989	22.2908499670368	20.9539969115403	23.2955008318559	23.3017094913147	22.5540746932413	22.7680488585445	21.6651806926794	21.4641533522355	20.894814916962	21.2685863296786	23.1533781460356	21.9158930689378	20.94160238367	22.2924840919675	21.4297447307859	22.0597012314684	22.4648340459678	23.0192541440429	21.5833922351724	21.4103522396462	21.3977204165697	22.2997886172795	22.3158080558384	21.9975141577591	21.1625248135716	21.9968234215891	21.8741877933512	20.2536098175327	20.4153386083209	21.5497248187244	21.8601660965332	21.7542345881603	20.8363900897046	21.3176455010541	21.9115523083716	20.4770085536836	21.4797263475346	23.8110974214264	21.34317823149	23.0945879191535	22.2025407413183	23.0943060764867	21.186202508158	22.043350263868	21.1733702719659	21.5700115580365	21.9661932452864	21.1089967216652	22.4269513939813	23.1459701584719	22.9901510303211	21.7215759898636	20.9706805751163	23.5116514944094	21.8510251426592	20.8340171563815	23.4107195099057	20.6657570906993	20.9775875980041	21.6964459895238	21.7728572475312	23.1473131347366	21.9849267683965
3-phosphoglycerate	21.8555698076022	21.8411680070585	21.0535262005997	22.3580684852965	21.7039181520213	22.0078981287356	20.7109457940126	18.7336127500201	21.201397423976	20.6608120837118	21.178480677133	21.6196734585789	21.2105902198872	20.5961352352809	20.4680745057197	19.6906411617152	20.7290520678864	21.5137548628839	21.5156163238024	22.297455372419	21.5429124253592	20.7771844548463	21.2996277322326	21.1925080804531	20.2867978451733	20.7694725472119	20.94989985255	20.3873254942063	21.4044081080965	21.2464477984568	21.3972305066207	21.41325509252	20.8166130640657	21.9724075908527	21.4481082178665	21.8966293381174	20.759481077543	21.0171598481128	21.0427582122491	20.9065245509599	21.1691707087037	21.4560009667462	22.5724623851506	21.2073345826174	21.0611257552012	20.5161577441734	21.201397423976	20.7908586955925	19.0770346799102	20.8101652918047	19.796927170467	19.1315947939607	20.9623872503062	21.5474247011528	20.3367938663623	20.7929410172521	20.5765084474703	20.7107013677045	21.4292130781393	20.9716020501224	21.4045107588756	21.1928530653185	21.882730558388	20.8834837496537	21.0160482881832	21.4986944507794	21.3423800162072	20.7223497880255	21.3217341214274	21.2410534592554	20.7689763854294	21.2306258440865	20.684215698303	21.2685052522157	20.4753544718571	21.4494920070771	21.001844326445	20.7225378799937	20.4285237007347	21.3412160837233	21.1125143263276	20.4630747812391	19.3412743195573	20.0339918644261	20.8783110705182	21.1316657841406	20.749780066201
adenine	18.9070529421933	17.1624877844902	NA	18.2112449851702	NA	NA	NA	NA	NA	NA	NA	17.901415053407	NA	NA	NA	NA	19.633619482015	NA	NA	NA	NA	NA	NA	NA	NA	18.8807800098788	NA	17.2882160183965	17.3529126502213	NA	17.8743528929846	NA	16.77809017063	NA	NA	NA	20.1035132058063	19.1641978504741	16.5245090186482	20.6403996484923	NA	NA	NA	NA	NA	18.1995601381566	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.2989809666819	NA	17.6978880443336	NA	19.1165780375258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.711362871766	NA	NA	NA	19.9246681765181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aminomalonic acid (spectralmatch)	22.5118245427429	21.971183985262	20.8062362189228	23.1755520354137	22.2202727508712	23.1116171869293	22.6196302305865	22.7769880736873	23.609807732873	22.2225598181342	21.2123783787689	22.0510177806844	21.956463581536	21.9870872721008	22.4191601738387	21.3723169938272	23.4946453541362	21.3685658666449	22.3393351973095	21.193149815327	22.4183712938284	20.7041840257397	17.8142781443762	21.5234134509345	20.3223684811237	20.4391649830238	21.6033968364653	22.0328753333293	22.8765337391349	22.105375865517	23.326336162108	21.7894871626127	22.4832790158605	21.1237231282104	23.1225918635783	22.009897960801	23.4871565965654	22.4497713071098	22.1469610264511	22.6617343370336	21.1349860503035	18.0612134735275	22.376116776295	22.4060423531448	23.279291788954	23.1854211373828	22.2962635131103	21.9574048239791	23.3202266192785	22.0475284077366	22.4869574352316	20.9602337525682	20.7937632296244	21.9599920193948	21.1975329297418	22.259529691353	22.4005151218892	22.6048991401372	21.7840325286176	23.4635034393746	22.7677559262008	22.670653422354	22.3563726967695	21.1376747976521	22.0756097773103	22.1727428748677	20.1202275636807	22.3864219736333	22.9029084730146	21.972634408377	23.0134022699111	23.106705047246	21.3392700328466	22.6686761783927	22.1320321023691	21.657526070079	22.4663477747834	22.3690935576254	22.6155412603201	21.3111848536042	21.7670573907583	20.911336209585	21.5626623020106	21.4920776463335	20.0735318067452	22.2655806702782	22.208899905493
campesterol	15.3909908159598	19.8075380426569	19.6272089362306	18.4990482460718	18.6820144375185	15.3621210815914	17.6420961929503	19.4662964643414	NA	16.7107063350947	16.7224018652626	17.7001485434858	NA	14.5319689847394	17.6162089474342	19.7952402817648	18.3208492398198	18.7247215708008	17.6042750472183	16.1459264211693	17.7687622846874	18.8291762664679	NA	19.1022525088386	14.9683269194714	17.2987974213952	18.1993527827693	19.7284284925347	18.5403341803606	17.8937122499895	18.6004283606313	19.7183762433303	20.188415137762	17.9553905934124	20.1725270809057	20.4983384826251	19.4558040842898	19.3116931705816	18.9181775087815	18.7397794229788	21.8009063845051	19.5270524437258	19.2284124584453	19.7708387825326	18.3969282293249	18.559450045014	19.0674424804415	18.2896370241185	20.4125599830945	18.2251609872056	18.8668506323665	NA	15.8287868724178	19.8690210573995	19.2436832252157	19.166840977754	21.2090625272137	16.8893709553703	18.8803065185131	18.7981296192951	18.5048426049909	20.5156990527603	NA	18.6840906312812	18.7427854882719	18.1424288603248	18.7726252696074	19.7657821458581	20.8792700994099	19.2808178865051	20.0648461567704	18.9621873711061	20.9867731354673	20.8511187957597	18.7408805033532	17.9941321576396	17.8225095739388	17.9928327862309	20.7067632079595	18.5623559509018	17.0877515038786	18.2563080088762	16.1925607450534	18.5546637351151	17.8858257796358	17.4424322821868	18.473222675566
capricacid	17.1099323114784	NA	18.111372953382	21.9971765498277	19.4481965056018	19.7519177465258	19.4936934013903	19.5680637299898	21.5377621807901	18.28295745422	18.0578620664106	17.9137268883343	16.3641990798977	17.9675869244016	17.5027048163848	16.5244947676308	20.2031442963304	17.5732640643427	18.3933792927029	18.201755673451	17.8218834428505	20.9554336729998	18.124832325497	16.9254787312633	15.6036169498237	22.1977491731332	18.1164099507551	16.9374588833566	17.9949003941167	NA	20.1060077275482	18.3612942374616	17.7551147843681	18.7154968713394	18.0308256219791	19.5482041521539	18.2127597845492	18.4488584745125	20.938140715843	18.1286240631737	13.4130287950716	19.9772733391308	18.9096939340077	19.2366906265852	17.7072451103921	16.3789189294621	17.5774782745435	17.9636801795875	18.5786365872195	16.9030431583726	17.7085030056205	17.2414683365187	16.3107631552116	18.5713435613323	18.6792365272152	19.8535065596224	17.3514437194769	18.8599203180646	20.6363126295555	21.8144076109272	20.8268167882264	17.676359004692	18.6906339592795	20.4363713842886	19.0484954032725	21.2641914772724	21.216592339794	18.6415335891058	16.8533246283353	21.2958935090523	17.2634276873699	17.0399548669979	17.9497477810225	22.3670619718014	21.4720270041987	20.9783548633314	19.6819850884255	19.7733684750815	22.297621847052	20.8165403941752	22.8070922798355	17.5023429188552	21.2111012213522	18.5682293751926	18.2409456182758	17.913429720653	19.2711668505319
cholesterol (spectral match)	25.0223036122121	26.1633061195836	25.4080962343655	25.4566130069721	26.2836071693197	25.6287302049388	25.5536250170717	25.265256066653	26.2294450525017	26.8117890178612	26.1449879671677	24.6707351330868	24.9859438882696	24.8851538440751	25.5716148450136	25.1085346019682	24.9378122320954	25.7440156132351	25.5734552121879	25.4459334592872	24.9959246729733	26.5367463942625	26.5046282657498	25.770825157575	25.1821400077266	23.3362100130567	25.3759750529404	25.4601991823554	25.0134039276966	26.0954286703921	25.1582017316898	25.7250618630848	25.388714371829	25.6369179035879	25.3992171442816	26.009945770193	25.0369446609446	24.8972098810743	25.362939189604	24.9101491792682	27.3292338195825	26.2289806656738	26.0644372409583	25.8542305521272	25.0747243329449	25.3981370212043	25.285648979501	25.163423026863	26.863505811667	25.1033487131296	25.9532427601375	26.1291908272616	25.9847743397192	25.7624346219022	26.0175708032141	25.9624288846026	25.9708405717292	25.6073697813024	25.8525295329447	24.9926026423105	25.7774569538903	25.6158837375605	25.7749691096037	25.6520258943631	25.6608265783227	25.440691397183	25.2499436402965	24.9556125721582	25.5540407886326	25.756600415719902	25.8577223599029	25.2319575602293	24.4464590756704	27.3973310970881	25.6756798322872	24.8538727580319	25.0617799771005	26.5461740913345	26.010731605645	26.1856393023799	26.2337959650662	26.0162940224523	26.1440390807475	26.2829092013517	25.8931904596712	26.2772131637417	26.5937727093615
citricacid	21.5631835186191	21.0531720590925	20.0742446753659	21.16498665271	19.1904993417486	19.6523213366437	21.5204215921961	20.6362883237252	21.2596420410426	20.7350702796991	21.0504792371183	21.9020282753755	21.1735658728938	21.471203685643	22.1866973759242	21.201397423976	21.4438889909336	21.3349366203194	21.8191539193746	21.0822990410183	21.3631546234706	21.873948563863	21.9708906786031	20.6676960230868	22.4181727499152	21.0587380305516	21.285121889369	21.7511116868381	21.8243185122274	21.9516229719564	21.7326188877342	21.3382595107204	21.9768316376685	22.1689459829054	21.4766896980939	22.2658212026454	21.7077439099695	20.9428418763976	21.1735754723644	20.819061133289	21.6953703116018	21.0507335610752	21.325616455035	21.9897846996645	21.6509392516846	21.5675766335061	21.1401862487174	21.3602320170938	22.2666666672285	21.4037722555177	21.2869276422508	20.7890763794475	20.5130300135296	21.479406811273	21.9145501092681	22.0336465739764	21.8781922201064	21.3129168324196	21.7452015648953	21.7237170022013	21.7778056197442	21.3791556281067	21.7206378010715	21.5100841976987	21.0417723359171	21.64061694791	21.5539123759078	21.3454288943525	21.4483098085224	21.6853518812495	21.201397423976	21.604918232599	21.3273908661802	22.0168064760523	20.1031140392469	21.5305198751436	21.18930681435	21.1122419652036	21.1694006731922	21.1937624287245	20.4651646259881	18.5359932992477	19.9172869467416	19.1738467894985	18.0644522552893	19.5086484111123	19.2934820867418
